companyid,text,category,year
C000003520,"Parker Drilling Company (Parker Drilling) is a provider of contract drilling, and drilling-related services and rental tools and services. The Company's business consists of two business lines: drilling services and rental tools services. Its Rental Tools Services business includes U.S. Rental Tools and International Rental Tools segments, and its Drilling Services business includes its U.S. (Lower 48) Drilling, and International & Alaska Drilling segments. In its Drilling Services business, the Company drills oil and gas wells for customers in both the United States and international markets. In its Rental Tools Services business, the Company provides rental equipment and services to exploration and production (E&P) companies, drilling contractors and service companies on land and offshore in the United States and select international markets. As of December 31, 2016, the Company had operations in 20 countries.",mining,1970
C000003634,"Pioneer Natural Resources Company is an oil and gas exploration and production company. The Company explores for, develops and produces oil, natural gas liquids (NGLs) and gas within the United States, with operations primarily in the Permian Basin in West Texas. The Company's operations include well stimulation and completion activities, such as hydraulic fracturing, and water distribution and disposal activities As of December 31, 2018, the Company owned interests in 11 gas processing plants and two treating facilities. Its Spraberry/Wolfcamp field covered approximately 800,000 gross acres (690,000 net acres).",mining,1997
C000003646,"Plains Resources Inc., an independent energy company, is engaged in marketing, gathering, transporting, terminaling and storage of oil through its equity ownership in Plains All American Pipeline, L.P. (PAA). PAA is engaged in the midstream energy markets. As of February 29, 2004, the Company owned 44% and 21% of the general and limited partnership units of PAA. Plain Resources also participates in acquiring, exploiting, developing, exploring for and producing oil through its wholly owned subsidiary, Calumet Florida LLC, which has producing properties in the Sunniland Trend in South Florida. On December 18, 2002, it spun-off Plains Exploration & Production Company (PXP), which, until that date, was its wholly owned subsidiary. In July 2004, the Company was acquired by an affiliate of Vulcan Energy Corporation.",mining,1976
C000003716,"Pride International, Inc. is an offshore drilling contractor operating, as of February 18, 2011, a fleet of 26 rigs, consisting of five deepwater drill ships, 12 semisubmersible rigs, seven backups and two managed deepwater drilling rigs. The Company also has two deepwater drill ships under construction. Its segments include Deepwater, which consists of its rigs capable of drilling in water depths of 4,500 feet and greater; Midwinter, which consists of its semisubmersible rigs capable of drilling in water depths of 4,499 feet or less, and Independent Leg Backups, which consists of its rigs capable of operating in water depths up to 300 feet. On February 6, 2011, the Company entered into a merger agreement with Ensco plc and two of its subsidiaries. Pursuant to which, it merged with one of the subsidiaries and became an indirect, wholly owned subsidiary of Ensco. In May 2011, it was acquired by Ensco plc.",mining,1966
C000004093,"Seitel, Inc. is a provider of onshore seismic data to the oil and gas industry in North America. Seitel owns in a library of onshore and offshore geological data that it licenses to a range of oil and gases companies. The Company's library includes positions in oil, liquids-rich and natural gas unconventional plays, as well as conventional areas. As of May 9, 2018, the Company owned 47,000 square miles of three-dimensional (3D) onshore data, 10,000 square miles of 3D offshore data, and 1.1 million linear miles of two-dimensional seismic data. The Company serves a market which includes over 1,500 companies in the oil and gases industry.",mining,1982
C000004482,"TETRA Technologies, Inc. is an oil and gas services company. The Company focuses on completion fluids and associated products and services, water management, production well testing, offshore rig cooling, and compression services and equipment. It is composed of three segments organized into three divisions: Fluids, Production Testing and Compression. The Fluids division manufactures and markets clear brine fluids, additives and associated products and services to the oil and gas industry. Its Production Testing division provides frac flowback services, production well testing services, offshore rig cooling and other associated services in various oil and gas producing regions. The Compression division provides compression services and equipment for natural gas and oil production, gathering, transportation, processing and storage.",mining,1981
C000004838,"Vintage Petroleum, Inc. (Vintage) is an independent energy company with operations primarily in the exploration and production, and gas marketing segments of the oil and gas industry. The Company is focused on the acquisition of oil and gas properties, which contain the potential for increased value through exploitation and exploration. During the year ended December 31, 2004, it owned and operated producing properties in nine states in the United States, with proved reserves located primarily in four core areas: West Coast, Gulf Coast, East Texas and Mid-Continent. In addition, Vintage has international core areas located in Argentina, Yemen and Bolivia. In 2004, the Company operated 3,972 gross (3,804 net) productive wells and also owned non-operating interests in 486 gross (124 net) productive wells.",mining,1983
C000004886,"New Wei, Inc, fomerly Walter Energy, Inc. is a producer and exporter of metallurgical coal for the steel industry from underground and surface mines with mineral reserves located in the United States, Canada and the United Kingdom. It also extracts, processes, markets and/or possesses mineral reserves of thermal coal and anthracite coal, as well as produces metallurgical coke and coal bed methane gas. Its two segments include U.S. Operations, and Canadian and U.K. Operations. The U.S. Operations segment includes the operations of its underground mines, surface mines, coke plant and natural gas operations located in Alabama and its underground and surface mining operations located in West Virginia. The Canadian and U.K. Operations segment includes three surface metallurgical coal mines in Northeast British Columbia's coalfields, which include the Wolverine Mine, the Brule Mine, and the Willow Creek Mine.",mining,1946
C000004999,"The Wiser Oil Company is an independent oil and gas exploration and production company operating in Texas, New Mexico, the Gulf Coast and Western Canada. The Company's total proved reserves, at December 31, 2003, were 191.2 billion cubic feet equivalent (Bcfe), with oil and natural gas liquids (NGLs) comprising 49% and natural gas comprising 51% of total reserves. Its proved reserves, at December 31, 2003, were 85% developed, with 70% located in the United States and 30% located in Canada. During the year ended December 31, 2003, the Company drilled or participated in 11 gross United States exploration wells, wherein seven were completed as oil or gas wells in the targeted interval and one was completed as a shallower development well. In the Gulf of Mexico, the Company participated in six exploration wells and one dry hole, which were generated and drilled through a joint venture with Remington Oil and Gas Corp.",mining,1970
C000006186,"Royal Oak Ventures Inc. is an investment holding company. The Company's investment portfolio consists principally of preferred shares, equity securities and bonds. Its loan portfolio, which is held indirectly through an 8% interest in a private partnership, is comprised of loans to various United States residential developers. The individual loans are unrated, bear interest at rates 10% to 30% per annum and have maturities ranging from due on demand to September 2014. The investment is classified as loans and receivables and accordingly carried at amortized cost. The company's investment portfolio consists of marketable securities and loans receivable. Marketable securities are comprised of investments in equity and debt securities of North American companies or through entities making such investments.",mining,2014
C000017691,"Engages in exploration, development and production of oil & natural gas, primarily in Texas, Oklahoma, and Louisiana, through drilling partnerships sold publicly to limited partners.  ",mining,1976
C000017753,Produces petroleum. ,mining,1983
C000017848,Operates an oil and gas exploration company.  ,mining,
C000018001,"Belden & Blake Corporation is an independent energy company engaged in the exploitation, development, production, operation and acquisition of oil and natural gas properties. The Company's operations are focused in the Appalachian Basin in Ohio, Pennsylvania and New York and in the Antrim Shale Formation in the Michigan Basin. The Company is wholly owned by Capital C Energy Operations, LP (Capital C). At December 31, 2009, the Company owned interests in 4,346 gross (3,396 net) productive oil and gas wells in Ohio, Pennsylvania, New York and Michigan with estimated proved reserves totaling 190 billion cubic feet equivalent (Bcfe) consisting of 163 billion cubic feet (Bcf)of natural gas and 4.4 million barrels (MMbbl) of oil. At December 31, 2009, EnerVest Operating, L.L.C. (EnerVest Operating) operated approximately 3,802 wells, or 87% of the gross wells representing approximately 98% of the value of the estimated proved developed reserves based on their standardized measure.",mining,1997
C000018053,"Builds coal gasification plants for the production of hydrogen. The Company manufactures plants, and researches and develops alternative methods of hydrogen production. Hydrogen Energy also researches and conducts oil and gas exploration.  ",mining,1931
C000018190,"Brock, an independent oil and gas company, acquires and develops oil and gas properties. Brock is mainly engaged in one industry segment the exploration for, development and production of oil and gas reserves.",mining,1973
C000018460,"An oil and gas exploration company which concentrates its efforts in the Rocky Mountain region and the Southwest, particulary in the overthrust and Williston Basin areas.  ",mining,1974
C000018491,"Chaparral Resources, Inc. is an exploration company. The Company is engaged in acquiring and developing foreign oil and gas projects. The Company is also identifying and evaluating other oil fields for possible acquisition and development. The Company is focused on the development of the Karakuduk Field, which is a 16,900-acre oil field in the Republic of Kazakhstan. Karakuduk-Munay, JSC (KKM) in agreement with the Company, is engaged in development of Karakuduk Field. KKM has approximately 36 productive wells in the Karakuduk Field, including 23 new wells and 13 re-completions of existing delineation wells. The 36 wells include 29 wells producing approximately 7,300 barrels of oil per day.",mining,1972
C000018922,Manufactures equipments for pipeline construction and offers field and drilling services. Investors own 65% of Crutcher Resources Corp.. ,mining,1964
C000019161,"Discovery Oil, Ltd. (Discovery Oil) is a shell company. The Company is searching for an investment opportunity in the oil industry, which may take the form of a merger, stock- for-stock exchange or stock-for-assets exchange. Discovery Oil does not intend to restrict its search to any particular business or industry segment, though it seeks to focus on opportunities related to natural resources.",mining,1964
C000019398,"Explores for, develops and produces oil, uranium and gas; manufactures and markets electronic air cleaners domestically and abroad. Provides custom heat treating of metal products.  ",mining,1929
C000019401,"Engages in oil and gas exploration and development through public drilling programs which it organizes and manages. Activities are concentrated in Texas, Oklahoma and the Gulf Coast of Louisiana. ",mining,1967
C000019485,"Reorganized TXCO, Inc., formerly TXCO Resources Inc. (TXCO), is an independent oil and gas company. The Company has interests in the Maverick Basin of southwest Texas, the Fort Trinidad area in east Texas, the onshore Gulf Coast region and the Marfa Basin of Texas, the Midcontinent region of western Oklahoma, and shallow Gulf of Mexico waters. The Company's primary business operation is exploration, exploitation, development, production and acquisition of predominately onshore domestic oil and gas reserves. The Company participated in drilling a total of 96 gross wells during the year ended December 31, 2008. It participated in 11 wells on former Output assets, one well in the Williston Basin and one well in the Marfa Basin. In May 2009, TXCO announced that the Company and its subsidiaries have filed voluntary petitions for relief under chapter 11 of the United States Bankruptcy Code in the United States Bankruptcy Court for the Western District of Texas.",mining,1979
C000019642,"One division manufactures inertia welded drill pipe for the oil and gas industry, drilling rod, casing and drill pipe for water well, mining and gas industries on a worldwide basis.  Another division, a heat-treating division, provides heat-treating service to industry primarily in the area of Minneapolis and St. Paul.  ",mining,1959
C000019766,Provides services for oil and gas exploration.  ,mining,1964
C000019820,"Company maintains coal reserves. In 1976, the Company had a 300 million ton reserve and was installing washing equipment so it can market its steam coal as metallurgical coal.  In 1981, the Company deployed all of its assets into the domestic oil and gas business.  It was an initial participant in the discovery of the Fletcher Field Deep Gas Play in Oklahoma.  ",mining,
C000019860,"GeoResources, Inc. is an independent oil and gas company engaged in the acquisition and development of oil and natural gas reserves through a diversified program, which includes purchases of reserves, re-engineering, development and exploration activities primarily focused in Texas, the Gulf Coast and the Williston Basin areas of the United States. The Company is the operator of properties containing approximately 75% of its proved oil and gas reserves. As of December 31, 2011, the Company was focused on three plays, being the Bakken and Three Forks formations in the Williston Basin, the Eagle Ford trend in Texas and the Austin Chalk trend in Texas. On February 29, 2012, it acquired producing wells and acreage in the Austin Chalk trend of east Texas in the Brookeland field area. In August 2012, Halcon Resources Corporation acquired the Company and assets in East Texas (East Texas Assets).",mining,1958
C000019861,"Evaluates, acquires, manages, and develops oil and gas properties. The Company, either directly or through one or more of its subsidiaries, sponsors limited partnerships to conduct these activities.  ",mining,1977
C000019865,Engages in geophysical and oil exploration services and performs seismic studies for the oil industry. ,mining,1973
C000019967,"Company is a professional general partner engaged in organizing, offering interests in, and managing limited partnerships in the oil and gas business and in timber.  ",mining,1982
C000020245,"Engages in oil and gas exploration and production, primarily in Texas and Louisiana. The company also has working and royalty interest in oil and gas producing and non-producing properties.  ",mining,1982
C000020356,"Indiana Limestone Co is a United States-based company, which supplies building stone. The Company is a dimensional limestone quarrier and fabricator. It offers Indiana Limestone raw materials and finished Indiana limestone building products. It supplies Indiana Limestone blocks, slabs, dimensional cut stone and residential building product. Its Limestone Classics Series line features residential and commercial building veneers. This series of natural Indiana Limestone products includes the veneers, flagstone paving, treads, and pool coping. The Company offers custom cut stone, building veneers, finished goods and landscape materials, and blocks and slabs.",mining,1926
C000020413,"A financial service company engaged in the organization, management, and sale of investment programs, primarily involving limited partnerships, and in the sale, reinsurance and direct writing of life insurance. The company's principal investment programs acquire commercial real estate subject to net lease. Other programs invest in equipment, conventionally financed residential and commercial real estate, government assisted housing, cable T.V., oil and gas, drilling rigs and franchised fast food restaurants. The company also owns and operates 25 insurance agencies.  ",mining,1968
C000020440,"Bargo Energy Company develops offshore oil and gas properties. The Company is engaged primarily in the acquisition, development and production of oil and gas properties in the Gulf Coast Regions (Texas and Louisiana) and California. ",mining,
C000020448,Engaged in the exploration and development of oil and gas properties in the U.S. and Canada.  ,mining,1980
C000020563,"Operates oil and gas exploration, development, and production activities in Oklahoma, Texas, and Kansas.  ",mining,1974
C000020636,Operates as an oil and gas exploration company.  ,mining,
C000021067,Engages in mineral exploration with large holdings of uranium properties. ,mining,1973
C000021302,"EXCO Resources, Inc. (EXCO) is an oil and natural gas company. The Company is engaged in the exploration, exploitation, acquisition, development and production of onshore United States oil and natural gas properties with a focus on shale resource plays. The Company's principal operations are conducted in certain United States oil and natural gas areas, including Texas, Louisiana and the Appalachia region. The Company holds acreage positions in approximately three shale plays in the United States, including East Texas and North Louisiana, South Texas and Appalachia. In East Texas and North Louisiana, the Company holds approximately 83,800 net acres in the Haynesville and Bossier shales. In South Texas, it holds approximately 65,800 net acres in the Eagle Ford shale. In Appalachia, the Company holds approximately 137,400 net acres prospective in the Marcellus shale.",mining,1955
C000021376,Operates as a well service company and an oil and gas exploration company.  ,mining,
C000021438,"Operates as a coal production company. The Company is also engaged in uranium marketing, exploration and mining.  ",mining,1967
C000021616,"Contracts seismic exploration services to both major and independent oil companies. The company collects, processes, and brokers seismic data. ",mining,1978
C000021618,"Engaged in oil and gas exploration and development, primarily in western Colorado, California and Louisiana.  ",mining,1944
C000021850,Operates as an oil and gas company with world wide leases and drilling ventures with a number of major concerns. ,mining,
C000021871,Distributes liquified petroleum gas. The Company also provides coal mining services. ,mining,1983
C000022060,"Operates as an oil and natural gas exploration and development Company. The Company is a private exploration and production company based in Plano, Texas that focuses on the acquisition and development of oil and gas properties in the Mid-Continent region and Texas.  ",mining,1980
C000022081,"Engages in oil, gas, and coal exploration.  ",mining,1969
C000022366,Pipeline transportation.  ,mining,1963
C000022367,"Reserve Industries is engaged in the mining and sale of silica sand for use by the glass, concrete and golf course industries. The Company's corporate segment includes partnership and equity income.",mining,1957
C000022732,"Provides oil field services, including acidizing, hydraulic fracturing, pumping and chemical cleaning for oil and gas wells.  ",mining,1973
C000022880,"Pioneer Energy Services Corp. provides land-based drilling services and production services to a group of independent oil and gas exploration and production companies in the United States and internationally in Colombia. The Company operates through two segments, which include drilling services segment and production services segment. It also provides two of its services (coiled tubing and wireline services) offshore in the Gulf of Mexico. Its drilling services segment provides contract land drilling services to a group of exploration and production companies through the Company's four drilling divisions in the United States, and internationally in Colombia. Its production services segment provides a range of services to a group of exploration and production companies, with its operations concentrated in the various United States onshore oil and gas producing regions in the Mid-Continent and Rocky Mountain states and in the Gulf Coast.",mining,1979
C000023462,"Triton Energy Limited is an international oil and gas exploration and production company. The Company's principal properties, operations, and oil and gas reserves are located in Colombia, Equatorial Guinea and Malaysia-Thailand. The Company explores for oil and gas in these areas, as well as in southern Europe, Africa and the Middle East. All of the Company's oil and gas sales are from production in Colombia and, commencing with the first quarter of 2001, offshore Equatorial Guinea. The Company generally sells its crude oil, natural gas, condensate and other oil and gas products to other oil and gas companies, government agencies and other industries.",mining,1962
C000023707,"Engages in contract drilling of oil and gas wells in the Permian Basin of Texas and New Mexico, and eastern Texas.  ",mining,1975
C000024003,"Worldwide Energies Inc. is an investment company, operating in the natural gas and oil sector. It focuses on the natural gas and oil exploration and the acquisition of properties, mainly in the United States. Its aim is to develop from an explorer to a production company. Worldwide Energies Inc. has been given the option to purchase a 50% net interest of 10 or more natural gas wells in Appalachian Basin of Western Pennsylvania. The Company is headquartered in Dover, the United States.",mining,1971
C000024065,Oil company. ,mining,1978
C000024528,Operate hospital and health care laundry services. ,mining,
C000024629,"Geokinetics Inc. is a full-service, worldwide provider of seismic data acquisition, processing and integrated reservoir geosciences services to the oil and natural gas industry. The Company also provides clients access, via licenses, to its multi-client seismic data library. The Company operates in two segments: seismic data acquisition and seismic data processing and integrated reservoir geosciences services.The Company further break down its seismic data acquisition segment into three reporting units, such as North America proprietary seismic data acquisition, international proprietary seismic data acquisition and the Company's multi-client seismic data acquisition business . As of December 31, 2011, the Company had the capacity to operate up to 25 seismic crews with approximately 200,000 channels of seismic data acquisition equipment worldwide. ",mining,1980
C000024641,"Bravo Enterprises, Ltd. is engaged in the business of acquiring clean tech technologies. The Company is also engaged in developing, manufacturing, marketing and distribution of atmospheric water harvesters (AWH) from water. The Company's products include AirMax 3000, AquaBox 100, AquaCube 1200, AquaCube 200, AquaCube 3000, AquaCube 500, AquaCube 5000, AquaPhere X, AquaPhere Y and AquaPhere Y. It is focused on its Splash Water For Life Division to engage in developing and distributing next generation water technology on a global basis. The Company produces and distributes two atmospheric water harvester (AWH) machines: a home/office unit that can produce approximately 30 liters of water a day and a commercial/industrial unit that can produce over 11,350 liters a day of safe drinking water every day. Its industrial and commercial units are intended for use in resource and military camps, beverage factories, hotels, and humanitarian and disaster relief applications.",mining,1983
C000024828,"Gas Natural Inc. is a natural gas company. The Company operates through three segments: Natural Gas; Marketing and Production, and Corporate and Other. The Natural Gas segment annually distributes approximately 20 billion cubic feet of natural gas to its customers through regulated utilities operating in Maine, Montana, North Carolina and Ohio. Its operations in Maine provide natural gas service to customers in Bangor, Brewer, Old Town, Orono, Bucksport, Hermon, Veazie and Lincoln. Its operations in Montana provide natural gas service to customers in Cascade, Gallatin and Glacier counties. Its North Carolina operations provide natural gas service to customers in Ashe, Surry, Warren, Watauga, Wilkes and Yadkin counties. The Company's Marketing and Production segment annually markets approximately 1.5 billion cubic feet of natural gas to commercial and industrial customers in Montana, Wyoming and Ohio through its subsidiaries, Energy West Resources, Inc. and Gas Natural Resources, LLC.",mining,1909
C000024927,Operates oil exploration services in Nevada. The Company uses 3-D seismic techniques for development drilling and explorations. The Company also has an agreement to buy the refining and transportation business of Petro Source Corporation.  ,mining,1985
